filtername wave filtwidth date detector x y median median_clipped filename observtn visit instrument effexptime
F200W 1.989 0.457 2022-08-26T02:55:04.068Z NIS 2048 2048 0.123557486 0.12279829 jw02738002001_08201_00004_nis_cal.fits 002 001 NIRISS 386.524
F200W 1.989 0.457 2022-08-26T02:46:39.556Z NIS 2048 2048 0.12484948 0.12408942 jw02738002001_08201_00003_nis_cal.fits 002 001 NIRISS 386.524
F200W 1.989 0.457 2022-08-26T00:22:17.941Z NIS 2048 2048 0.12556048 0.12481589 jw02738002001_02201_00002_nis_cal.fits 002 001 NIRISS 386.524
F200W 1.989 0.457 2022-08-26T02:38:06.533Z NIS 2048 2048 0.124104485 0.12337758 jw02738002001_08201_00002_nis_cal.fits 002 001 NIRISS 386.524
F200W 1.989 0.457 2022-08-26T00:30:53.524Z NIS 2048 2048 0.12483485 0.12406687 jw02738002001_02201_00003_nis_cal.fits 002 001 NIRISS 386.524
F200W 1.989 0.457 2022-08-26T00:39:17.780Z NIS 2048 2048 0.12452465 0.12373085 jw02738002001_02201_00004_nis_cal.fits 002 001 NIRISS 386.524
F200W 1.989 0.457 2022-08-26T01:59:59.567Z NIS 2048 2048 0.123380765 0.12262169 jw02738002001_06201_00002_nis_cal.fits 002 001 NIRISS 386.524
F200W 1.989 0.457 2022-08-26T04:24:24.511Z NIS 2048 2048 0.12537366 0.124615274 jw02738002001_12201_00003_nis_cal.fits 002 001 NIRISS 386.524
F200W 1.989 0.457 2022-08-26T04:32:49.406Z NIS 2048 2048 0.12371445 0.122942165 jw02738002001_12201_00004_nis_cal.fits 002 001 NIRISS 386.524
F200W 1.989 0.457 2022-08-26T02:16:49.230Z NIS 2048 2048 0.12505686 0.12426379 jw02738002001_06201_00004_nis_cal.fits 002 001 NIRISS 386.524
F200W 1.989 0.457 2022-08-26T02:08:24.334Z NIS 2048 2048 0.12581849 0.12502915 jw02738002001_06201_00003_nis_cal.fits 002 001 NIRISS 386.524
F200W 1.989 0.457 2022-08-30T04:23:34.173Z NIS 2048 2048 0.12519087 0.12422903 jw02738002002_02201_00001_nis_cal.fits 002 002 NIRISS 386.524
F200W 1.989 0.457 2022-08-26T04:15:52.831Z NIS 2048 2048 0.12411111 0.12331904 jw02738002001_12201_00002_nis_cal.fits 002 001 NIRISS 386.524
F200W 1.989 0.457 2022-08-30T04:52:15.451Z NIS 2048 2048 0.12346655 0.12252697 jw02738002002_02201_00004_nis_cal.fits 002 002 NIRISS 386.524
F200W 1.989 0.457 2022-08-30T04:45:20.796Z NIS 2048 2048 0.12632118 0.12536399 jw02738002002_02201_00003_nis_cal.fits 002 002 NIRISS 386.524
F200W 1.989 0.457 2022-08-26T01:51:21.936Z NIS 2048 2048 0.12531069 0.12450877 jw02738002001_06201_00001_nis_cal.fits 002 001 NIRISS 386.524
F200W 1.989 0.457 2022-08-30T04:32:20.957Z NIS 2048 2048 0.12396838 0.12304026 jw02738002002_02201_00002_nis_cal.fits 002 002 NIRISS 386.524
F200W 1.989 0.457 2022-08-26T04:07:11.232Z NIS 2048 2048 0.12554471 0.124752484 jw02738002001_12201_00001_nis_cal.fits 002 001 NIRISS 386.524
F200W 1.989 0.457 2022-08-26T00:13:45.813Z NIS 2048 2048 0.1258243 0.125049 jw02738002001_02201_00001_nis_cal.fits 002 001 NIRISS 386.524
F200W 1.989 0.457 2022-08-26T02:29:28.077Z NIS 2048 2048 0.124286726 0.12346943 jw02738002001_08201_00001_nis_cal.fits 002 001 NIRISS 386.524
