filtername wave filtwidth date detector x y median median_clipped filename observtn visit instrument effexptime
F150W 1.501 0.318 2022-08-26T02:16:38.779Z NRCB3 2048 2048 0.07329199463129044 0.072731495 jw02738002001_06101_00004_nrcb3_rate.fits 002 001 NIRCAM 418.734
F277W 2.762 0.683 2022-08-26T04:32:38.827Z NRCALONG 2048 2048 0.16162658 0.16145122 jw02738002001_12101_00004_nrcalong_rate.fits 002 001 NIRCAM 418.734
F200W 1.989 0.457 2022-08-26T04:15:49.548Z NRCA2 2048 2048 0.06598100066184998 0.065659136 jw02738002001_12101_00002_nrca2_rate.fits 002 001 NIRCAM 418.734
F356W 3.568 0.781 2022-08-26T02:08:14.140Z NRCBLONG 2048 2048 0.24524249 0.24422617 jw02738002001_06101_00003_nrcblong_rate.fits 002 001 NIRCAM 418.734
F090W 0.902 0.194 2022-08-26T01:05:47.129Z NRCA4 2048 2048 0.061567597 0.0613149 jw02738002001_04101_00002_nrca4_rate.fits 002 001 NIRCAM 730.1
F200W 1.989 0.457 2022-08-26T04:07:14.093Z NRCB3 2048 2048 0.07276444882154465 0.07212336 jw02738002001_12101_00001_nrcb3_rate.fits 002 001 NIRCAM 418.734
F150W 1.501 0.318 2022-08-30T04:32:14.282Z NRCA2 2048 2048 0.0787326 0.07819094 jw02738002002_02101_00002_nrca2_rate.fits 002 002 NIRCAM 418.734
F444W 4.408 1.029 2022-08-26T01:32:59.127Z NRCALONG 2048 2048 0.6672405004501343 0.67098856 jw02738002001_04101_00004_nrcalong_rate.fits 002 001 NIRCAM 730.1
F150W 1.501 0.318 2022-08-26T00:39:07.265Z NRCB3 2048 2048 0.07363871 0.073050596 jw02738002001_02101_00004_nrcb3_rate.fits 002 001 NIRCAM 418.734
F150W 1.501 0.318 2022-08-30T04:23:38.890Z NRCB3 2048 2048 0.07299140095710754 0.07263029 jw02738002002_02101_00001_nrcb3_rate.fits 002 002 NIRCAM 418.734
F410M 4.082 0.438 2022-08-26T03:35:22.920Z NRCBLONG 2048 2048 0.17551077902317047 0.17505828 jw02738002001_10101_00003_nrcblong_rate.fits 002 001 NIRCAM 730.1
F090W 0.902 0.194 2022-08-26T01:05:47.001Z NRCB1 2048 2048 0.04615265130996704 0.04603289 jw02738002001_04101_00002_nrcb1_rate.fits 002 001 NIRCAM 730.1
F090W 0.902 0.194 2022-08-26T01:19:23.128Z NRCA3 2048 2048 0.058095384 0.057882138 jw02738002001_04101_00003_nrca3_rate.fits 002 001 NIRCAM 730.1
F115W 1.154 0.225 2022-08-26T03:21:36.297Z NRCA1 2048 2048 0.05822500213980675 0.058120284 jw02738002001_10101_00002_nrca1_rate.fits 002 001 NIRCAM 730.1
F115W 1.154 0.225 2022-08-26T03:35:22.920Z NRCB3 2048 2048 0.059256017208099365 0.058897845 jw02738002001_10101_00003_nrcb3_rate.fits 002 001 NIRCAM 730.1
F150W 1.501 0.318 2022-08-26T00:13:42.722Z NRCA3 2048 2048 0.08075809 0.08032961 jw02738002001_02101_00001_nrca3_rate.fits 002 001 NIRCAM 418.734
F200W 1.989 0.457 2022-08-26T02:37:56.402Z NRCB1 2048 2048 0.06651815 0.06628194 jw02738002001_08101_00002_nrcb1_rate.fits 002 001 NIRCAM 418.734
F200W 1.989 0.457 2022-08-26T02:46:31.857Z NRCA3 2048 2048 0.07078041136264801 0.07024075 jw02738002001_08101_00003_nrca3_rate.fits 002 001 NIRCAM 418.734
F150W 1.501 0.318 2022-08-26T00:22:17.986Z NRCB2 2048 2048 0.0779215544462204 0.07748584 jw02738002001_02101_00002_nrcb2_rate.fits 002 001 NIRCAM 418.734
F115W 1.154 0.225 2022-08-26T03:21:36.169Z NRCB4 2048 2048 0.06548359245061874 0.064859286 jw02738002001_10101_00002_nrcb4_rate.fits 002 001 NIRCAM 730.1
F150W 1.501 0.318 2022-08-26T01:51:24.988Z NRCA3 2048 2048 0.078421004 0.07789901 jw02738002001_06101_00001_nrca3_rate.fits 002 001 NIRCAM 418.734
F200W 1.989 0.457 2022-08-26T04:32:38.827Z NRCA3 2048 2048 0.07257321 0.07202087 jw02738002001_12101_00004_nrca3_rate.fits 002 001 NIRCAM 418.734
F200W 1.989 0.457 2022-08-26T02:37:56.530Z NRCA4 2048 2048 0.069437824 0.06896445 jw02738002001_08101_00002_nrca4_rate.fits 002 001 NIRCAM 418.734
F150W 1.501 0.318 2022-08-26T01:59:49.564Z NRCB2 2048 2048 0.07664403 0.076198846 jw02738002001_06101_00002_nrcb2_rate.fits 002 001 NIRCAM 418.734
F200W 1.989 0.457 2022-08-26T04:15:49.420Z NRCB1 2048 2048 0.06875198 0.068407714 jw02738002001_12101_00002_nrcb1_rate.fits 002 001 NIRCAM 418.734
