detector,filtername,observtn,wave,filtwidth,x,y,median,median_clipped,visit,effexptime,PHOTMJSR,sb_mjsr,sb_mjsr_std,shortdet
NRCA1,F090W,2,0.902,0.194,2048.0,2048.0,0.0538078605209589,0.0536959135,1.0,730.1,2.9961,0.16121373090684496,0.011922458333564279,A1
NRCA1,F115W,2,1.154,0.225,2048.0,2048.0,0.05891578256990335,0.05880321,1.0,730.1,2.9628,0.17455568059810966,0.012366349439347045,A1
NRCA1,F150W,2,1.501,0.318,2048.0,2048.0,0.075074845,0.07465648,1.0,418.734,2.2512,0.169008491064,0.011146969951526992,A1
NRCA1,F200W,2,1.989,0.457,2048.0,2048.0,0.06824663,0.06783766,1.0,418.734,1.8917,0.129102149971,0.005900951356563853,A1
NRCA2,F090W,2,0.902,0.194,2048.0,2048.0,0.05211484059691425,0.0519927165,1.0,730.1,3.2824,0.17106175277531133,0.004252813962199885,A2
NRCA2,F115W,2,1.154,0.225,2048.0,2048.0,0.0574655922208595,0.057304743500000005,1.0,730.1,3.1012,0.1782122945953295,0.014061940574964762,A2
NRCA2,F150W,2,1.501,0.318,2048.0,2048.0,0.07410770750000001,0.07352569,1.0,418.734,2.3836,0.176643131597,0.006570502284406409,A2
NRCA2,F200W,2,1.989,0.457,2048.0,2048.0,0.06440549659135815,0.06424181749999999,1.0,418.734,2.0807,0.13400851675763892,0.011174718378654669,A2
NRCA3,F090W,2,0.902,0.194,2048.0,2048.0,0.0579532165,0.057686881999999995,1.0,730.1,2.954,0.171193801541,0.0013506636509480184,A3
NRCA3,F115W,2,1.154,0.225,2048.0,2048.0,0.0613620858485031,0.061005807,1.0,730.1,2.9486,0.18093224633289623,0.009136855603603698,A3
NRCA3,F150W,2,1.501,0.318,2048.0,2048.0,0.07733713808092116,0.0768711875,1.0,418.734,2.2037,0.17042785118892595,0.00518753258021767,A3
NRCA3,F200W,2,1.989,0.457,2048.0,2048.0,0.072202845,0.07162253,1.0,418.734,1.8281,0.13199402094450002,0.002205648599814327,A3
NRCA4,F090W,2,0.902,0.194,2048.0,2048.0,0.0594357160451736,0.059214815000000004,1.0,730.1,2.9096,0.17293415940503712,0.0062166328495141705,A4
NRCA4,F115W,2,1.154,0.225,2048.0,2048.0,0.06663406249975201,0.06631096,1.0,730.1,2.7757,0.18495616728056163,0.004608284245559003,A4
NRCA4,F150W,2,1.501,0.318,2048.0,2048.0,0.08083082521329879,0.08032332,1.0,418.734,2.1021,0.16991447768087542,0.012283282440234732,A4
NRCA4,F200W,2,1.989,0.457,2048.0,2048.0,0.07403832069975849,0.07356257999999999,1.0,418.734,1.8054,0.13366878419134398,0.003866206440640786,A4
NRCALONG,F277W,2,2.762,0.683,2048.0,2048.0,0.16224370999999999,0.16197927,1.0,418.734,0.4908,0.079629212868,0.0010632450410393193,ALONG
