filtername,wave,filtwidth,date,detector,x,y,median,median_clipped,filename,observtn,visit,instrument,effexptime,PHOTMJSR,sb_mjsr
F150W,1.501,0.318,2022-08-26T02:16:38.779Z,NRCB3,2048,2048,0.0732919946312904,0.072731495,jw02738002001_06101_00004_nrcb3_rate.fits,2,1,NIRCAM,418.734,2.3518,0.17236811297386875
F277W,2.762,0.683,2022-08-26T04:32:38.827Z,NRCALONG,2048,2048,0.16162658,0.16145122,jw02738002001_12101_00004_nrcalong_rate.fits,2,1,NIRCAM,418.734,0.4908,0.079326325464
F200W,1.989,0.457,2022-08-26T04:15:49.548Z,NRCA2,2048,2048,0.0659810006618499,0.065659136,jw02738002001_12101_00002_nrca2_rate.fits,2,1,NIRCAM,418.734,2.0807,0.13728666807711112
F356W,3.568,0.781,2022-08-26T02:08:14.140Z,NRCBLONG,2048,2048,0.24524249,0.24422617,jw02738002001_06101_00003_nrcblong_rate.fits,2,1,NIRCAM,418.734,0.376,0.09221117624
F090W,0.902,0.194,2022-08-26T01:05:47.129Z,NRCA4,2048,2048,0.061567597,0.0613149,jw02738002001_04101_00002_nrca4_rate.fits,2,1,NIRCAM,730.1,2.9096,0.1791370802312
F200W,1.989,0.457,2022-08-26T04:07:14.093Z,NRCB3,2048,2048,0.0727644488215446,0.07212336,jw02738002001_12101_00001_nrcb3_rate.fits,2,1,NIRCAM,418.734,1.9572,0.1424145792335271
F150W,1.501,0.318,2022-08-30T04:32:14.282Z,NRCA2,2048,2048,0.0787326,0.07819094,jw02738002002_02101_00002_nrca2_rate.fits,2,2,NIRCAM,418.734,2.3836,0.18766702536
F444W,4.408,1.029,2022-08-26T01:32:59.127Z,NRCALONG,2048,2048,0.6672405004501343,0.67098856,jw02738002001_04101_00004_nrcalong_rate.fits,2,1,NIRCAM,730.1,0.3925,0.2618918964266777
F150W,1.501,0.318,2022-08-26T00:39:07.265Z,NRCB3,2048,2048,0.07363871,0.073050596,jw02738002001_02101_00004_nrcb3_rate.fits,2,1,NIRCAM,418.734,2.3518,0.17318351817799998
F150W,1.501,0.318,2022-08-30T04:23:38.890Z,NRCB3,2048,2048,0.0729914009571075,0.07263029,jw02738002002_02101_00001_nrcb3_rate.fits,2,2,NIRCAM,418.734,2.3518,0.1716611767709254
F410M,4.082,0.438,2022-08-26T03:35:22.920Z,NRCBLONG,2048,2048,0.1755107790231704,0.17505828,jw02738002001_10101_00003_nrcblong_rate.fits,2,1,NIRCAM,730.1,0.8751,0.1535894827231764
F090W,0.902,0.194,2022-08-26T01:05:47.001Z,NRCB1,2048,2048,0.046152651309967,0.04603289,jw02738002001_04101_00002_nrcb1_rate.fits,2,1,NIRCAM,730.1,3.564,0.16448804926872237
F090W,0.902,0.194,2022-08-26T01:19:23.128Z,NRCA3,2048,2048,0.058095384,0.057882138,jw02738002001_04101_00003_nrca3_rate.fits,2,1,NIRCAM,730.1,2.954,0.171613764336
F115W,1.154,0.225,2022-08-26T03:21:36.297Z,NRCA1,2048,2048,0.0582250021398067,0.058120284,jw02738002001_10101_00002_nrca1_rate.fits,2,1,NIRCAM,730.1,2.9628,0.1725090363398193
F115W,1.154,0.225,2022-08-26T03:35:22.920Z,NRCB3,2048,2048,0.0592560172080993,0.058897845,jw02738002001_10101_00003_nrcb3_rate.fits,2,1,NIRCAM,730.1,3.1863,0.18880744763016682
F150W,1.501,0.318,2022-08-26T00:13:42.722Z,NRCA3,2048,2048,0.08075809,0.08032961,jw02738002001_02101_00001_nrca3_rate.fits,2,1,NIRCAM,418.734,2.2037,0.177966602933
F200W,1.989,0.457,2022-08-26T02:37:56.402Z,NRCB1,2048,2048,0.06651815,0.06628194,jw02738002001_08101_00002_nrcb1_rate.fits,2,1,NIRCAM,418.734,2.0223,0.134519654745
F200W,1.989,0.457,2022-08-26T02:46:31.857Z,NRCA3,2048,2048,0.070780411362648,0.07024075,jw02738002001_08101_00003_nrca3_rate.fits,2,1,NIRCAM,418.734,1.8281,0.12939367001205682
F150W,1.501,0.318,2022-08-26T00:22:17.986Z,NRCB2,2048,2048,0.0779215544462204,0.07748584,jw02738002001_02101_00002_nrcb2_rate.fits,2,1,NIRCAM,418.734,2.3054,0.17964035162031652
F115W,1.154,0.225,2022-08-26T03:21:36.169Z,NRCB4,2048,2048,0.0654835924506187,0.064859286,jw02738002001_10101_00002_nrcb4_rate.fits,2,1,NIRCAM,730.1,2.6985,0.17670747422799457
F150W,1.501,0.318,2022-08-26T01:51:24.988Z,NRCA3,2048,2048,0.078421004,0.07789901,jw02738002001_06101_00001_nrca3_rate.fits,2,1,NIRCAM,418.734,2.2037,0.1728163665148
F200W,1.989,0.457,2022-08-26T04:32:38.827Z,NRCA3,2048,2048,0.07257321,0.07202087,jw02738002001_12101_00004_nrca3_rate.fits,2,1,NIRCAM,418.734,1.8281,0.13267108520100002
F200W,1.989,0.457,2022-08-26T02:37:56.530Z,NRCA4,2048,2048,0.069437824,0.06896445,jw02738002001_08101_00002_nrca4_rate.fits,2,1,NIRCAM,418.734,1.8054,0.12536304744959997
F150W,1.501,0.318,2022-08-26T01:59:49.564Z,NRCB2,2048,2048,0.07664403,0.076198846,jw02738002001_06101_00002_nrcb2_rate.fits,2,1,NIRCAM,418.734,2.3054,0.17669514676200002
F200W,1.989,0.457,2022-08-26T04:15:49.420Z,NRCB1,2048,2048,0.06875198,0.068407714,jw02738002001_12101_00002_nrcb1_rate.fits,2,1,NIRCAM,418.734,2.0223,0.13903712915400002
F150W,1.501,0.318,2022-08-30T04:32:14.282Z,NRCA4,2048,2048,0.0857278332114219,0.085424654,jw02738002002_02101_00002_nrca4_rate.fits,2,2,NIRCAM,418.734,2.1021,0.18020847819372998
F200W,1.989,0.457,2022-08-26T04:24:14.188Z,NRCA3,2048,2048,0.07183248,0.07122419,jw02738002001_12101_00003_nrca3_rate.fits,2,1,NIRCAM,418.734,1.8281,0.131316956688
F200W,1.989,0.457,2022-08-26T04:15:49.548Z,NRCA4,2048,2048,0.07318774,0.07268686,jw02738002001_12101_00002_nrca4_rate.fits,2,1,NIRCAM,418.734,1.8054,0.132133145796
F150W,1.501,0.318,2022-08-30T04:32:14.282Z,NRCB1,2048,2048,0.0696108,0.06931706,jw02738002002_02101_00002_nrcb1_rate.fits,2,2,NIRCAM,418.734,2.4124,0.16792909392
F200W,1.989,0.457,2022-08-26T02:54:56.497Z,NRCA3,2048,2048,0.0740108266472816,0.073533475,jw02738002001_08101_00004_nrca3_rate.fits,2,1,NIRCAM,418.734,1.8281,0.1352991921938955
F090W,0.902,0.194,2022-08-26T00:52:11.002Z,NRCB3,2048,2048,0.053694144,0.053341564,jw02738002001_04101_00001_nrcb3_rate.fits,2,1,NIRCAM,730.1,3.4248,0.18389170437119998
F115W,1.154,0.225,2022-08-26T03:49:09.671Z,NRCB3,2048,2048,0.0590153634548187,0.058560096,jw02738002001_10101_00004_nrcb3_rate.fits,2,1,NIRCAM,730.1,3.1863,0.18804065257608882
F090W,0.902,0.194,2022-08-26T01:05:47.129Z,NRCA2,2048,2048,0.0511462390422821,0.050983604,jw02738002001_04101_00002_nrca2_rate.fits,2,1,NIRCAM,730.1,3.2824,0.16788241503238677
F090W,0.902,0.194,2022-08-26T01:32:59.127Z,NRCA3,2048,2048,0.057825208,0.057573054,jw02738002001_04101_00004_nrca3_rate.fits,2,1,NIRCAM,730.1,2.954,0.17081566443200003
F200W,1.989,0.457,2022-08-26T02:29:31.824Z,NRCB3,2048,2048,0.0708067715167999,0.07026046,jw02738002001_08101_00001_nrcb3_rate.fits,2,1,NIRCAM,418.734,1.9572,0.13858301321268077
F277W,2.762,0.683,2022-08-26T04:32:38.699Z,NRCBLONG,2048,2048,0.18617694,0.18506414,jw02738002001_12101_00004_nrcblong_rate.fits,2,1,NIRCAM,418.734,0.4175,0.07772887245
F115W,1.154,0.225,2022-08-26T03:21:36.169Z,NRCB2,2048,2048,0.060808975,0.0605816,jw02738002001_10101_00002_nrcb2_rate.fits,2,1,NIRCAM,730.1,3.1282,0.19022263559500002
F200W,1.989,0.457,2022-08-26T02:37:56.530Z,NRCA2,2048,2048,0.0584735535085201,0.05835563,jw02738002001_08101_00002_nrca2_rate.fits,2,1,NIRCAM,418.734,2.0807,0.12166592278517778
F150W,1.501,0.318,2022-08-26T01:59:49.564Z,NRCB4,2048,2048,0.09152227,0.09066448,jw02738002001_06101_00002_nrcb4_rate.fits,2,1,NIRCAM,418.734,2.0288,0.185680381376
F150W,1.501,0.318,2022-08-26T00:30:42.625Z,NRCB3,2048,2048,0.0742300599813461,0.07364355,jw02738002001_02101_00003_nrcb3_rate.fits,2,1,NIRCAM,418.734,2.3518,0.17457425506412977
F115W,1.154,0.225,2022-08-26T03:07:49.546Z,NRCA3,2048,2048,0.0593740493059158,0.059033785,jw02738002001_10101_00001_nrca3_rate.fits,2,1,NIRCAM,730.1,2.9486,0.17507032178342333
F150W,1.501,0.318,2022-08-26T00:22:18.114Z,NRCA1,2048,2048,0.0783040076494216,0.07805603,jw02738002001_02101_00002_nrca1_rate.fits,2,1,NIRCAM,418.734,2.2512,0.1762779820203779
F356W,3.568,0.781,2022-08-26T02:08:14.268Z,NRCALONG,2048,2048,0.2138324081897735,0.21352303,jw02738002001_06101_00003_nrcalong_rate.fits,2,1,NIRCAM,418.734,0.4047,0.08653797559440134
F444W,4.408,1.029,2022-08-26T01:32:58.999Z,NRCBLONG,2048,2048,0.6919452548027039,0.69213486,jw02738002001_04101_00004_nrcblong_rate.fits,2,1,NIRCAM,730.1,0.3728,0.257957190990448
F150W,1.501,0.318,2022-08-26T00:22:17.986Z,NRCB4,2048,2048,0.0871334,0.08626213,jw02738002001_02101_00002_nrcb4_rate.fits,2,1,NIRCAM,418.734,2.0288,0.17677624192
F410M,4.082,0.438,2022-08-26T03:35:23.048Z,NRCALONG,2048,2048,0.16500524,0.16515715,jw02738002001_10101_00003_nrcalong_rate.fits,2,1,NIRCAM,730.1,0.8704,0.14362056089599998
F150W,1.501,0.318,2022-08-26T01:59:49.628Z,NRCA1,2048,2048,0.0660637021064758,0.06585547,jw02738002001_06101_00002_nrca1_rate.fits,2,1,NIRCAM,418.734,2.2512,0.14872260618209832
F150W,1.501,0.318,2022-08-26T02:08:14.204Z,NRCB3,2048,2048,0.0780177,0.07745381,jw02738002001_06101_00003_nrcb3_rate.fits,2,1,NIRCAM,418.734,2.3518,0.18348202685999998
F200W,1.989,0.457,2022-08-26T04:07:14.093Z,NRCB2,2048,2048,0.0687970519065857,0.068327464,jw02738002001_12101_00001_nrcb2_rate.fits,2,1,NIRCAM,418.734,1.9519,0.1342849656164646
