filtername wave filtwidth date detector x y median median_clipped filename observtn visit instrument
F200W 1.989 0.457 2022-04-29T11:40:41.486Z NRCB4 2048 2048 0.21672817 0.21590807 jw01448007001_04101_00001_nrcb4_rate.fits 007 001 NIRCAM
F150W 1.501 0.318 2022-05-06T00:34:09.838Z NRCB2 2048 2048 0.062141642 0.061627414 jw01448003001_08101_00002_nrcb2_rate.fits 003 001 NIRCAM
F356W 3.568 0.781 2022-05-06T03:15:29.381Z NRCBLONG 2048 2048 0.2751420736312866 0.2729993 jw01448004001_06101_00001_nrcblong_rate.fits 004 001 NIRCAM
F115W 1.154 0.225 2022-05-03T00:42:20.075Z NRCB1 2048 2048 0.066305734 0.06546205 jw01448005001_06101_00002_nrcb1_rate.fits 005 001 NIRCAM
F115W 1.154 0.225 2022-05-06T03:15:29.381Z NRCB4 2048 2048 0.0859186202287674 0.08527322 jw01448004001_06101_00001_nrcb4_rate.fits 004 001 NIRCAM
F200W 1.989 0.457 2022-05-06T05:26:34.653Z NRCB1 2048 2048 0.071006 0.06967741 jw01448006001_04101_00002_nrcb1_rate.fits 006 001 NIRCAM
F277W 2.762 0.683 2022-05-03T00:07:04.877Z NRCBLONG 2048 2048 0.2412353754043579 0.23818257 jw01448005001_02101_00001_nrcblong_rate.fits 005 001 NIRCAM
F070W 0.704 0.132 2022-05-05T23:47:05.969Z NRCB1 2048 2048 0.02908022701740265 0.028264595 jw01448003001_02101_00002_nrcb1_rate.fits 003 001 NIRCAM
F200W 1.989 0.457 2022-04-29T09:38:44.437Z NRCB4 2048 2048 1.2356722354888916 1.0264388 jw01448008001_04101_00003_nrcb4_rate.fits 008 001 NIRCAM
F070W 0.704 0.132 2022-04-29T06:31:59.904Z NRCB4 2048 2048 0.07241986691951752 0.07213013 jw01448002001_02101_00001_nrcb4_rate.fits 002 001 NIRCAM
F150W 1.501 0.318 2022-05-06T03:34:48.996Z NRCB3 2048 2048 0.08017925173044205 0.07935796 jw01448004001_08101_00002_nrcb3_rate.fits 004 001 NIRCAM
F150W 1.501 0.318 2022-04-29T07:26:56.093Z NRCB4 2048 2048 0.09587723 0.0950049 jw01448002001_08101_00003_nrcb4_rate.fits 002 001 NIRCAM
F277W 2.762 0.683 2022-04-29T11:29:14.319Z NRCBLONG 2048 2048 0.5407702922821045 0.5393761 jw01448007001_02101_00002_nrcblong_rate.fits 007 001 NIRCAM
F356W 3.568 0.781 2022-05-06T05:42:40.988Z NRCBLONG 2048 2048 0.25933746 0.2557285 jw01448006001_06101_00002_nrcblong_rate.fits 006 001 NIRCAM
F200W 1.989 0.457 2022-04-29T09:34:48.213Z NRCB3 2048 2048 1.1054782 0.93984616 jw01448008001_04101_00002_nrcb3_rate.fits 008 001 NIRCAM
F070W 0.704 0.132 2022-05-06T02:43:48.967Z NRCB4 2048 2048 0.0499798059463501 0.049023647 jw01448004001_02101_00001_nrcb4_rate.fits 004 001 NIRCAM
F480M 4.874 0.3 2022-05-06T00:38:06.062Z NRCBLONG 2048 2048 0.2593306 0.25863934 jw01448003001_08101_00003_nrcblong_rate.fits 003 001 NIRCAM
F070W 0.704 0.132 2022-05-03T00:11:01.101Z NRCB1 2048 2048 0.030532225966453552 0.029492129 jw01448005001_02101_00002_nrcb1_rate.fits 005 001 NIRCAM
F115W 1.154 0.225 2022-04-29T07:03:29.566Z NRCB4 2048 2048 0.050688177 0.04987374 jw01448002001_06101_00001_nrcb4_rate.fits 002 001 NIRCAM
F150W 1.501 0.318 2022-05-03T00:57:54.218Z NRCB2 2048 2048 0.090173535 0.08938594 jw01448005001_08101_00002_nrcb2_rate.fits 005 001 NIRCAM
F200W 1.989 0.457 2022-05-02T19:00:57.919Z NRCB4 2048 2048 1.1860868 1.0224378 jw01448001001_04101_00001_nrcb4_rate.fits 001 001 NIRCAM
F444W 4.408 1.029 2022-04-29T11:48:33.869Z NRCBLONG 2048 2048 1.5474597 1.5470953 jw01448007001_04101_00003_nrcblong_rate.fits 007 001 NIRCAM
F115W 1.154 0.225 2022-05-06T00:18:35.695Z NRCB1 2048 2048 0.056332808 0.055918038 jw01448003001_06101_00002_nrcb1_rate.fits 003 001 NIRCAM
F480M 4.874 0.3 2022-04-29T10:06:07.187Z NRCBLONG 2048 2048 1.9056031703948975 1.7333982 jw01448008001_08101_00002_nrcblong_rate.fits 008 001 NIRCAM
F150W 1.501 0.318 2022-05-06T03:38:45.219Z NRCB4 2048 2048 0.07822276 0.07731935 jw01448004001_08101_00003_nrcb4_rate.fits 004 001 NIRCAM
F150W 1.501 0.318 2022-04-29T07:22:59.869Z NRCB3 2048 2048 0.0870756 0.08669945 jw01448002001_08101_00002_nrcb3_rate.fits 002 001 NIRCAM
F115W 1.154 0.225 2022-05-06T05:42:40.988Z NRCB2 2048 2048 0.05344323068857193 0.05212549 jw01448006001_06101_00002_nrcb2_rate.fits 006 001 NIRCAM
F150W 1.501 0.318 2022-05-02T19:32:06.141Z NRCB4 2048 2048 0.7163143157958984 0.67202926 jw01448001001_08101_00001_nrcb4_rate.fits 001 001 NIRCAM
