detector,filtername,observtn,wave,filtwidth,x,y,median,median_clipped,visit,sb_mjsr,sb_mjsr_std,shortdet
MIRIMAGE,F1000W,1,10.0,2.0,1024.0,1032.0,29.779579162597656,29.548675537109375,1.0,29.779579162597656,0.010217787518360314,MIRI
MIRIMAGE,F1000W,2,10.0,2.0,1024.0,1032.0,13.091963768005373,13.092087745666504,1.0,13.091963768005373,0.018925122373116166,MIRI
MIRIMAGE,F1000W,3,10.0,2.0,1024.0,1032.0,13.082743644714355,13.087058067321776,1.0,13.082743644714355,0.0215858408011072,MIRI
MIRIMAGE,F1000W,4,10.0,2.0,1024.0,1032.0,12.767017364501951,12.771954536437988,1.0,12.767017364501951,0.017750042633657644,MIRI
MIRIMAGE,F1000W,5,10.0,2.0,1024.0,1032.0,12.69214391708374,12.695904731750488,1.0,12.69214391708374,0.015086060659365895,MIRI
MIRIMAGE,F1000W,6,10.0,2.0,1024.0,1032.0,13.04818058013916,13.05115795135498,1.0,13.04818058013916,0.015486062027764442,MIRI
MIRIMAGE,F1000W,7,10.0,2.0,1024.0,1032.0,32.81513214111328,32.80189895629883,1.0,32.81513214111328,0.05198561902693375,MIRI
MIRIMAGE,F1000W,8,10.0,2.0,1024.0,1032.0,30.401479721069336,30.385072708129883,1.0,30.401479721069336,0.0134715467846333,MIRI
MIRIMAGE,F1280W,1,12.8,2.4,1024.0,1032.0,90.81968688964844,88.73670196533203,1.0,90.81968688964844,0.128167007261014,MIRI
MIRIMAGE,F1280W,2,12.8,2.4,1024.0,1032.0,24.45075225830078,24.454672813415527,1.0,24.45075225830078,0.015308274740389968,MIRI
MIRIMAGE,F1280W,3,12.8,2.4,1024.0,1032.0,24.124263763427734,24.134002685546875,1.0,24.124263763427734,0.0191477269218627,MIRI
MIRIMAGE,F1280W,4,12.8,2.4,1024.0,1032.0,23.602006912231445,23.617990493774418,1.0,23.602006912231445,0.021876968548011754,MIRI
MIRIMAGE,F1280W,5,12.8,2.4,1024.0,1032.0,23.86790180206299,23.877710342407227,1.0,23.86790180206299,0.02105233092718227,MIRI
MIRIMAGE,F1280W,6,12.8,2.4,1024.0,1032.0,23.69746971130371,23.708171844482425,1.0,23.69746971130371,0.015009255590854552,MIRI
MIRIMAGE,F1280W,7,12.8,2.4,1024.0,1032.0,54.67580986022949,54.66749572753906,1.0,54.67580986022949,0.034954482205920324,MIRI
MIRIMAGE,F1280W,8,12.8,2.4,1024.0,1032.0,78.67130279541016,78.88028717041016,1.0,78.67130279541016,0.07110285264443557,MIRI
MIRIMAGE,F560W,1,5.6,1.2,1024.0,1032.0,17.10807704925537,16.642863273620605,1.0,17.10807704925537,0.07915568823850848,MIRI
MIRIMAGE,F560W,2,5.6,1.2,1024.0,1032.0,1.55159991979599,1.5476002097129822,1.0,1.55159991979599,0.07179495484518784,MIRI
MIRIMAGE,F560W,3,5.6,1.2,1024.0,1032.0,1.531960904598236,1.5305601358413696,1.0,1.531960904598236,0.046450582502723436,MIRI
