filtername,wave,filtwidth,date,detector,x,y,median,median_clipped,filename,observtn,visit,instrument,sb_mjsr
F1000W,10.0,2.0,2022-05-02T19:24:51.738Z,MIRIMAGE,1024,1032,29.779579162597656,29.548675537109375,jw01448001001_06201_00003_mirimage_fixed_cal.fits,1,1,MIRI,29.779579162597656
F1000W,10.0,2.0,2022-05-06T05:38:40.824Z,MIRIMAGE,1024,1032,13.025635719299316,13.028413772583008,jw01448006001_06201_00001_mirimage_fixed_cal.fits,6,1,MIRI,13.025635719299316
F1000W,10.0,2.0,2022-05-03T00:38:24.199Z,MIRIMAGE,1024,1032,12.672473907470703,12.67538833618164,jw01448005001_06201_00001_mirimage_fixed_cal.fits,5,1,MIRI,12.672473907470703
F1000W,10.0,2.0,2022-04-29T07:11:26.842Z,MIRIMAGE,1024,1032,13.102740287780762,13.102238178253174,jw01448002001_06201_00003_mirimage_fixed_cal.fits,2,1,MIRI,13.102740287780762
F1000W,10.0,2.0,2022-05-06T00:14:41.227Z,MIRIMAGE,1024,1032,13.05262327194214,13.056199073791504,jw01448003001_06201_00001_mirimage_fixed_cal.fits,3,1,MIRI,13.05262327194214
F1000W,10.0,2.0,2022-05-06T03:23:26.464Z,MIRIMAGE,1024,1032,12.77637004852295,12.780806064605711,jw01448004001_06201_00003_mirimage_fixed_cal.fits,4,1,MIRI,12.77637004852295
F1000W,10.0,2.0,2022-04-29T12:04:57.640Z,MIRIMAGE,1024,1032,32.83306884765625,32.81987380981445,jw01448007001_06201_00003_mirimage_fixed_cal.fits,7,1,MIRI,32.83306884765625
F1000W,10.0,2.0,2022-04-29T09:54:42.928Z,MIRIMAGE,1024,1032,30.401479721069336,30.385072708129883,jw01448008001_06201_00003_mirimage_fixed_cal.fits,8,1,MIRI,30.401479721069336
F1000W,10.0,2.0,2022-05-06T00:18:39.883Z,MIRIMAGE,1024,1032,13.082743644714355,13.087058067321776,jw01448003001_06201_00002_mirimage_fixed_cal.fits,3,1,MIRI,13.082743644714355
F1000W,10.0,2.0,2022-05-03T00:42:25.607Z,MIRIMAGE,1024,1032,12.69214391708374,12.695904731750488,jw01448005001_06201_00002_mirimage_fixed_cal.fits,5,1,MIRI,12.69214391708374
F1000W,10.0,2.0,2022-05-06T05:42:45.048Z,MIRIMAGE,1024,1032,13.04818058013916,13.05115795135498,jw01448006001_06201_00002_mirimage_fixed_cal.fits,6,1,MIRI,13.04818058013916
F1000W,10.0,2.0,2022-04-29T09:46:51.185Z,MIRIMAGE,1024,1032,30.38543128967285,30.370540618896484,jw01448008001_06201_00001_mirimage_fixed_cal.fits,8,1,MIRI,30.38543128967285
F1000W,10.0,2.0,2022-04-29T12:00:58.985Z,MIRIMAGE,1024,1032,32.81513214111328,32.80189895629883,jw01448007001_06201_00002_mirimage_fixed_cal.fits,7,1,MIRI,32.81513214111328
F1000W,10.0,2.0,2022-05-06T03:19:30.561Z,MIRIMAGE,1024,1032,12.767017364501951,12.771954536437988,jw01448004001_06201_00002_mirimage_fixed_cal.fits,4,1,MIRI,12.767017364501951
F1000W,10.0,2.0,2022-04-29T07:07:28.122Z,MIRIMAGE,1024,1032,13.091963768005373,13.092087745666504,jw01448002001_06201_00002_mirimage_fixed_cal.fits,2,1,MIRI,13.091963768005373
F1000W,10.0,2.0,2022-05-02T19:20:53.082Z,MIRIMAGE,1024,1032,29.78243350982666,29.550506591796875,jw01448001001_06201_00002_mirimage_fixed_cal.fits,1,1,MIRI,29.78243350982666
F1000W,10.0,2.0,2022-05-06T05:46:43.704Z,MIRIMAGE,1024,1032,13.055299758911133,13.058117866516112,jw01448006001_06201_00003_mirimage_fixed_cal.fits,6,1,MIRI,13.055299758911133
F1000W,10.0,2.0,2022-05-02T19:17:02.746Z,MIRIMAGE,1024,1032,29.763482093811035,29.534765243530273,jw01448001001_06201_00001_mirimage_fixed_cal.fits,1,1,MIRI,29.763482093811035
F1000W,10.0,2.0,2022-04-29T07:03:32.282Z,MIRIMAGE,1024,1032,13.065929412841797,13.065474510192873,jw01448002001_06201_00001_mirimage_fixed_cal.fits,2,1,MIRI,13.065929412841797
F1000W,10.0,2.0,2022-05-03T00:46:24.263Z,MIRIMAGE,1024,1032,12.702122688293455,12.70506715774536,jw01448005001_06201_00003_mirimage_fixed_cal.fits,5,1,MIRI,12.702122688293455
F1000W,10.0,2.0,2022-05-06T03:15:29.089Z,MIRIMAGE,1024,1032,12.742035865783691,12.74598789215088,jw01448004001_06201_00001_mirimage_fixed_cal.fits,4,1,MIRI,12.742035865783691
F1000W,10.0,2.0,2022-05-06T00:22:35.787Z,MIRIMAGE,1024,1032,13.094468116760254,13.097612380981444,jw01448003001_06201_00003_mirimage_fixed_cal.fits,3,1,MIRI,13.094468116760254
F1000W,10.0,2.0,2022-04-29T11:56:54.761Z,MIRIMAGE,1024,1032,32.735408782958984,32.723907470703125,jw01448007001_06201_00001_mirimage_fixed_cal.fits,7,1,MIRI,32.735408782958984
F1000W,10.0,2.0,2022-04-29T09:50:49.840Z,MIRIMAGE,1024,1032,30.412198066711422,30.396095275878903,jw01448008001_06201_00002_mirimage_fixed_cal.fits,8,1,MIRI,30.412198066711422
F560W,5.6,1.2,2022-04-29T06:39:56.988Z,MIRIMAGE,1024,1032,1.531052052974701,1.526947796344757,jw01448002001_02201_00003_mirimage_fixed_cal.fits,2,1,MIRI,1.531052052974701
F560W,5.6,1.2,2022-05-03T00:07:10.985Z,MIRIMAGE,1024,1032,1.7055776119232178,1.7022908926010132,jw01448005001_02201_00001_mirimage_fixed_cal.fits,5,1,MIRI,1.7055776119232178
F560W,5.6,1.2,2022-05-06T05:07:13.786Z,MIRIMAGE,1024,1032,1.7236078381538391,1.7213587760925293,jw01448006001_02201_00001_mirimage_fixed_cal.fits,6,1,MIRI,1.7236078381538391
F560W,5.6,1.2,2022-05-02T18:53:21.883Z,MIRIMAGE,1024,1032,17.20047950744629,16.733556747436523,jw01448001001_02201_00003_mirimage_fixed_cal.fits,1,1,MIRI,17.20047950744629
F560W,5.6,1.2,2022-04-29T11:33:13.898Z,MIRIMAGE,1024,1032,3.5505731105804443,3.547241449356079,jw01448007001_02201_00003_mirimage_fixed_cal.fits,7,1,MIRI,3.5505731105804443
F560W,5.6,1.2,2022-05-06T02:51:48.290Z,MIRIMAGE,1024,1032,1.5724328756332395,1.5706198811531067,jw01448004001_02201_00003_mirimage_fixed_cal.fits,4,1,MIRI,1.5724328756332395
F560W,5.6,1.2,2022-05-05T23:43:08.621Z,MIRIMAGE,1024,1032,1.6013223528862,1.5998533368110657,jw01448003001_02201_00001_mirimage_fixed_cal.fits,3,1,MIRI,1.6013223528862
F560W,5.6,1.2,2022-05-05T23:47:10.029Z,MIRIMAGE,1024,1032,1.531960904598236,1.5305601358413696,jw01448003001_02201_00002_mirimage_fixed_cal.fits,3,1,MIRI,1.531960904598236
F560W,5.6,1.2,2022-04-29T09:23:24.210Z,MIRIMAGE,1024,1032,12.83986234664917,12.36711311340332,jw01448008001_02201_00003_mirimage_fixed_cal.fits,8,1,MIRI,12.83986234664917
F560W,5.6,1.2,2022-05-06T05:11:15.194Z,MIRIMAGE,1024,1032,1.6343767046928406,1.632099449634552,jw01448006001_02201_00002_mirimage_fixed_cal.fits,6,1,MIRI,1.6343767046928406
F560W,5.6,1.2,2022-05-03T00:11:06.889Z,MIRIMAGE,1024,1032,1.6258891224861145,1.6227946281433103,jw01448005001_02201_00002_mirimage_fixed_cal.fits,5,1,MIRI,1.6258891224861145
F560W,5.6,1.2,2022-05-06T02:47:52.386Z,MIRIMAGE,1024,1032,1.5971313118934631,1.5956131219863892,jw01448004001_02201_00002_mirimage_fixed_cal.fits,4,1,MIRI,1.5971313118934631
F560W,5.6,1.2,2022-04-29T11:29:20.811Z,MIRIMAGE,1024,1032,3.5844210386276245,3.580993175506592,jw01448007001_02201_00002_mirimage_fixed_cal.fits,7,1,MIRI,3.5844210386276245
F560W,5.6,1.2,2022-04-29T09:15:37.970Z,MIRIMAGE,1024,1032,12.934657096862791,12.46003770828247,jw01448008001_02201_00001_mirimage_fixed_cal.fits,8,1,MIRI,12.934657096862791
F560W,5.6,1.2,2022-05-02T18:49:26.044Z,MIRIMAGE,1024,1032,17.10807704925537,16.642863273620605,jw01448001001_02201_00002_mirimage_fixed_cal.fits,1,1,MIRI,17.10807704925537
F560W,5.6,1.2,2022-04-29T06:35:58.332Z,MIRIMAGE,1024,1032,1.55159991979599,1.5476002097129822,jw01448002001_02201_00002_mirimage_fixed_cal.fits,2,1,MIRI,1.55159991979599
F560W,5.6,1.2,2022-05-03T00:15:02.793Z,MIRIMAGE,1024,1032,1.6034784317016602,1.5999736785888672,jw01448005001_02201_00003_mirimage_fixed_cal.fits,5,1,MIRI,1.6034784317016602
F560W,5.6,1.2,2022-04-29T06:32:02.428Z,MIRIMAGE,1024,1032,1.6643986701965332,1.660354495048523,jw01448002001_02201_00001_mirimage_fixed_cal.fits,2,1,MIRI,1.6643986701965332
F560W,5.6,1.2,2022-05-02T18:45:24.572Z,MIRIMAGE,1024,1032,17.042953491210938,16.577342987060547,jw01448001001_02201_00001_mirimage_fixed_cal.fits,1,1,MIRI,17.042953491210938
F560W,5.6,1.2,2022-05-06T05:15:13.850Z,MIRIMAGE,1024,1032,1.6098013520240784,1.608203649520874,jw01448006001_02201_00003_mirimage_fixed_cal.fits,6,1,MIRI,1.6098013520240784
F560W,5.6,1.2,2022-04-29T09:19:31.058Z,MIRIMAGE,1024,1032,12.884674072265623,12.403775215148926,jw01448008001_02201_00002_mirimage_fixed_cal.fits,8,1,MIRI,12.884674072265623
F560W,5.6,1.2,2022-04-29T11:25:22.155Z,MIRIMAGE,1024,1032,3.7143337726593018,3.7105886936187744,jw01448007001_02201_00001_mirimage_fixed_cal.fits,7,1,MIRI,3.7143337726593018
F560W,5.6,1.2,2022-05-05T23:51:08.685Z,MIRIMAGE,1024,1032,1.5131186246871948,1.5118484497070312,jw01448003001_02201_00003_mirimage_fixed_cal.fits,3,1,MIRI,1.5131186246871948
F560W,5.6,1.2,2022-05-06T02:43:50.915Z,MIRIMAGE,1024,1032,1.684241533279419,1.6824463605880735,jw01448004001_02201_00001_mirimage_fixed_cal.fits,4,1,MIRI,1.684241533279419
F770W,7.7,2.2,2022-04-29T06:47:26.523Z,MIRIMAGE,1024,1032,5.017214059829712,5.018160343170166,jw01448002001_04201_00001_mirimage_fixed_cal.fits,2,1,MIRI,5.017214059829712
F770W,7.7,2.2,2022-05-03T00:30:29.640Z,MIRIMAGE,1024,1032,5.02372670173645,5.024837017059326,jw01448005001_04201_00003_mirimage_fixed_cal.fits,5,1,MIRI,5.02372670173645
F770W,7.7,2.2,2022-05-06T05:30:35.193Z,MIRIMAGE,1024,1032,5.232253074645996,5.233625411987305,jw01448006001_04201_00003_mirimage_fixed_cal.fits,6,1,MIRI,5.232253074645996
F770W,7.7,2.2,2022-05-02T19:01:02.555Z,MIRIMAGE,1024,1032,80.1439323425293,77.10205841064453,jw01448001001_04201_00001_mirimage_fixed_cal.fits,1,1,MIRI,80.1439323425293
F770W,7.7,2.2,2022-04-29T09:34:52.401Z,MIRIMAGE,1024,1032,63.32127380371094,63.398963928222656,jw01448008001_04201_00002_mirimage_fixed_cal.fits,8,1,MIRI,63.32127380371094
F770W,7.7,2.2,2022-04-29T11:40:43.498Z,MIRIMAGE,1024,1032,13.028726577758787,13.029217720031738,jw01448007001_04201_00001_mirimage_fixed_cal.fits,7,1,MIRI,13.028726577758787
F770W,7.7,2.2,2022-05-06T02:59:17.826Z,MIRIMAGE,1024,1032,5.243871688842773,5.246108055114746,jw01448004001_04201_00001_mirimage_fixed_cal.fits,4,1,MIRI,5.243871688842773
F770W,7.7,2.2,2022-05-06T00:06:32.844Z,MIRIMAGE,1024,1032,4.998671531677246,5.001091480255127,jw01448003001_04201_00003_mirimage_fixed_cal.fits,3,1,MIRI,4.998671531677246
F770W,7.7,2.2,2022-05-06T03:03:22.049Z,MIRIMAGE,1024,1032,5.277617692947388,5.279783725738525,jw01448004001_04201_00002_mirimage_fixed_cal.fits,4,1,MIRI,5.277617692947388
F770W,7.7,2.2,2022-04-29T11:44:42.154Z,MIRIMAGE,1024,1032,13.092029571533203,13.093153953552246,jw01448007001_04201_00002_mirimage_fixed_cal.fits,7,1,MIRI,13.092029571533203
