filtername wave filtwidth date detector x y median median_clipped filename observtn visit instrument effexptime
F115W 1.154 0.225 2022-06-28T23:47:51.116Z NIS 2048 2048 0.22747391 0.22509155 jw01324001001_04101_00001_nis_cal.fits 001 001 NIRISS 343.577
F150W 1.501 0.318 2022-06-29T06:06:32.757Z NIS 2048 2048 0.23045222 0.2278415 jw01324001001_12101_00001_nis_cal.fits 001 001 NIRISS 343.577
F115W 1.154 0.225 2022-06-29T01:53:00.100Z NIS 2048 2048 0.22744232 0.22503285 jw01324001001_06101_00001_nis_cal.fits 001 001 NIRISS 343.577
F150W 1.501 0.318 2022-06-29T04:01:39.069Z NIS 2048 2048 0.23297536 0.23026296 jw01324001001_10101_00001_nis_cal.fits 001 001 NIRISS 343.577
F200W 1.989 0.457 2022-06-29T10:21:00.570Z NIS 2048 2048 0.18686149 0.18368557 jw01324001001_18101_00001_nis_cal.fits 001 001 NIRISS 343.577
F150W 1.501 0.318 2022-06-29T02:18:40.899Z NIS 2048 2048 0.23086457 0.22819601 jw01324001001_08101_00001_nis_cal.fits 001 001 NIRISS 343.577
F200W 1.989 0.457 2022-06-29T08:15:04.610Z NIS 2048 2048 0.18673019 0.18364634 jw01324001001_16101_00001_nis_cal.fits 001 001 NIRISS 343.577
F115W 1.154 0.225 2022-06-28T22:04:38.674Z NIS 2048 2048 0.22559106 0.2231989 jw01324001001_02101_00001_nis_cal.fits 001 001 NIRISS 343.577
F200W 1.989 0.457 2022-06-29T06:32:14.120Z NIS 2048 2048 0.18595578 0.18281594 jw01324001001_14101_00001_nis_cal.fits 001 001 NIRISS 343.577
F200W 1.989 0.457 2022-06-29T08:22:14.177Z NIS 2048 2048 0.18671903 0.18365364 jw01324001001_16101_00002_nis_cal.fits 001 001 NIRISS 343.577
F200W 1.989 0.457 2022-06-29T08:36:48.545Z NIS 2048 2048 0.18711343 0.18394096 jw01324001001_16101_00004_nis_cal.fits 001 001 NIRISS 343.577
F200W 1.989 0.457 2022-06-29T08:29:38.401Z NIS 2048 2048 0.18507583 0.18198816 jw01324001001_16101_00003_nis_cal.fits 001 001 NIRISS 343.577
F150W 1.501 0.318 2022-06-29T04:16:00.252Z NIS 2048 2048 0.22860298 0.22594598 jw01324001001_10101_00003_nis_cal.fits 001 001 NIRISS 343.577
F150W 1.501 0.318 2022-06-29T04:23:08.987Z NIS 2048 2048 0.22849077 0.22577862 jw01324001001_10101_00004_nis_cal.fits 001 001 NIRISS 343.577
F150W 1.501 0.318 2022-06-29T06:13:41.493Z NIS 2048 2048 0.2274313 0.22473133 jw01324001001_12101_00002_nis_cal.fits 001 001 NIRISS 343.577
F115W 1.154 0.225 2022-06-28T23:55:00.875Z NIS 2048 2048 0.22836816 0.2259841 jw01324001001_04101_00002_nis_cal.fits 001 001 NIRISS 343.577
F115W 1.154 0.225 2022-06-29T02:07:18.915Z NIS 2048 2048 0.2273592 0.22499076 jw01324001001_06101_00003_nis_cal.fits 001 001 NIRISS 343.577
F200W 1.989 0.457 2022-06-29T10:35:19.194Z NIS 2048 2048 0.18692423 0.18375179 jw01324001001_18101_00003_nis_cal.fits 001 001 NIRISS 343.577
F150W 1.501 0.318 2022-06-29T06:20:51.381Z NIS 2048 2048 0.23011589 0.22754407 jw01324001001_12101_00003_nis_cal.fits 001 001 NIRISS 343.577
F150W 1.501 0.318 2022-06-29T04:08:50.172Z NIS 2048 2048 0.22861487 0.22595344 jw01324001001_10101_00002_nis_cal.fits 001 001 NIRISS 343.577
F115W 1.154 0.225 2022-06-29T00:09:19.114Z NIS 2048 2048 0.22818829 0.22580014 jw01324001001_04101_00004_nis_cal.fits 001 001 NIRISS 343.577
F115W 1.154 0.225 2022-06-29T02:00:09.860Z NIS 2048 2048 0.22744757 0.22505544 jw01324001001_06101_00002_nis_cal.fits 001 001 NIRISS 343.577
F115W 1.154 0.225 2022-06-29T00:02:09.931Z NIS 2048 2048 0.2245057 0.22205405 jw01324001001_04101_00003_nis_cal.fits 001 001 NIRISS 343.577
F200W 1.989 0.457 2022-06-29T10:28:10.138Z NIS 2048 2048 0.18719591 0.184048 jw01324001001_18101_00002_nis_cal.fits 001 001 NIRISS 343.577
