detector,filtername,observtn,wave,filtwidth,x,y,median,median_clipped,visit,effexptime,PHOTMJSR,sb_mjsr,sb_mjsr_std,shortdet
NRCA1,F090W,1,0.902,0.194,2048.0,2048.0,0.067382575,0.06727320249999999,1.0,735.4685,,,,A1
NRCA1,F115W,1,1.154,0.225,2048.0,2048.0,0.07813067500000001,0.078090645,1.0,735.4685,,,,A1
NRCA1,F150W,1,1.501,0.318,2048.0,2048.0,0.10073603,0.10030754,1.0,311.366,,,,A1
NRCA1,F200W,1,1.989,0.457,2048.0,2048.0,0.095444694,0.09525606,1.0,1159.571,,,,A1
NRCA2,F090W,1,0.902,0.194,2048.0,2048.0,0.06628806516528124,0.06604078,1.0,735.4685,,,,A2
NRCA2,F115W,1,1.154,0.225,2048.0,2048.0,0.076928474009037,0.0769594325,1.0,735.4685,,,,A2
NRCA2,F150W,1,1.501,0.318,2048.0,2048.0,0.10015731,0.09992628,1.0,311.366,,,,A2
NRCA2,F200W,1,1.989,0.457,2048.0,2048.0,0.091744184,0.091538124,1.0,1159.571,,,,A2
NRCA3,F090W,1,0.902,0.194,2048.0,2048.0,0.0742484182119369,0.074091285,1.0,735.4685,,,,A3
NRCA3,F115W,1,1.154,0.225,2048.0,2048.0,0.08078788220882416,0.08062337,1.0,735.4685,,,,A3
NRCA3,F150W,1,1.501,0.318,2048.0,2048.0,0.10473772,0.10456817,1.0,311.366,,,,A3
NRCA3,F200W,1,1.989,0.457,2048.0,2048.0,0.1014654040336608,0.10107112,1.0,1159.571,,,,A3
NRCA4,F090W,1,0.902,0.194,2048.0,2048.0,0.07555551081895825,0.075597705,1.0,735.4685,,,,A4
NRCA4,F115W,1,1.154,0.225,2048.0,2048.0,0.08738453718851086,0.0871467675,1.0,735.4685,,,,A4
NRCA4,F150W,1,1.501,0.318,2048.0,2048.0,0.11493290960788724,0.114545015,1.0,311.366,,,,A4
NRCA4,F200W,1,1.989,0.457,2048.0,2048.0,0.1042058616876602,0.10376656,1.0,1159.571,,,,A4
NRCALONG,F277W,1,2.762,0.683,2048.0,2048.0,0.2388940155506134,0.23884034,1.0,1159.571,,,,ALONG
NRCALONG,F356W,1,3.568,0.781,2048.0,2048.0,0.26242465,0.26304168,1.0,311.366,,,,ALONG
NRCALONG,F444W,1,4.408,1.029,2048.0,2048.0,0.7472423611076355,0.75100985,1.0,735.4685,,,,ALONG
NRCB1,F090W,1,0.902,0.194,2048.0,2048.0,0.0635018868337059,0.0633499525,1.0,735.4685,3.603,0.22879729826184236,0.008442390289712994,B1
NRCB1,F115W,1,1.154,0.225,2048.0,2048.0,0.07478623464703554,0.07460291,1.0,735.4685,3.186,0.23826894358545525,0.010540531600048484,B1
NRCB1,F150W,1,1.501,0.318,2048.0,2048.0,0.1016532,0.10137969,1.0,311.366,2.301,0.2339040132,0.0078045827090173275,B1
NRCB1,F200W,1,1.989,0.457,2048.0,2048.0,0.0958093851804733,0.09545464,1.0,1159.571,2.1,0.20119970887899394,0.003800396562634795,B1
NRCB2,F090W,1,0.902,0.194,2048.0,2048.0,0.066164138,0.065822395,1.0,735.4685,,,,B2
NRCB2,F115W,1,1.154,0.225,2048.0,2048.0,0.0775325594543457,0.077213715,1.0,735.4685,,,,B2
NRCB2,F150W,1,1.501,0.318,2048.0,2048.0,0.1052475124597549,0.104560874,1.0,311.366,,,,B2
NRCB2,F200W,1,1.989,0.457,2048.0,2048.0,0.0975700691342353,0.09702943,1.0,1159.571,,,,B2
NRCB3,F090W,1,0.902,0.194,2048.0,2048.0,0.0667502619326114,0.06639342,1.0,735.4685,,,,B3
NRCB3,F115W,1,1.154,0.225,2048.0,2048.0,0.07625815647253034,0.076000892,1.0,735.4685,,,,B3
NRCB3,F150W,1,1.501,0.318,2048.0,2048.0,0.103870176,0.103427306,1.0,311.366,,,,B3
NRCB3,F200W,1,1.989,0.457,2048.0,2048.0,0.0977092087268829,0.09722019,1.0,1159.571,,,,B3
NRCB4,F090W,1,0.902,0.194,2048.0,2048.0,0.07310876995325086,0.07297493199999999,1.0,735.4685,,,,B4
NRCB4,F115W,1,1.154,0.225,2048.0,2048.0,0.09044993296265594,0.0899532975,1.0,735.4685,,,,B4
NRCB4,F150W,1,1.501,0.318,2048.0,2048.0,0.11757436,0.11691286,1.0,311.366,,,,B4
NRCB4,F200W,1,1.989,0.457,2048.0,2048.0,0.10613576,0.105220556,1.0,1159.571,,,,B4
NRCBLONG,F277W,1,2.762,0.683,2048.0,2048.0,0.2719824314117431,0.2706572,1.0,1159.571,0.399,0.1085209901332855,0.001331806795674453,BLONG
NRCBLONG,F356W,1,3.568,0.781,2048.0,2048.0,0.29666927,0.2951725,1.0,311.366,0.351,0.10413091376999999,0.0013264163379001275,BLONG
NRCBLONG,F444W,1,4.408,1.029,2048.0,2048.0,0.7753119762516785,0.775426175,1.0,735.4685,0.343,0.26593200785432575,0.002918264395994519,BLONG
