filtername wave filtwidth date detector x y median median_clipped filename observtn visit instrument effexptime
F115W 1.154 0.225 2022-06-29T02:50:51.589Z NRCA1 2048 2048 0.07892487943172455 0.078841105 jw01324001001_09201_00002_nrca1_rate.fits 001 001 NIRCAM 1159.571
F150W 1.501 0.318 2022-06-29T08:36:56.307Z NRCB4 2048 2048 0.12227360904216766 0.12133927 jw01324001001_16201_00004_nrcb4_rate.fits 001 001 NIRCAM 311.366
F200W 1.989 0.457 2022-06-29T09:56:01.952Z NRCB3 2048 2048 0.09729623794555664 0.09682567 jw01324001001_17201_00004_nrcb3_rate.fits 001 001 NIRCAM 1159.571
F090W 0.902 0.194 2022-06-29T02:07:22.517Z NRCA2 2048 2048 0.06621771305799484 0.065677874 jw01324001001_06201_00003_nrca2_rate.fits 001 001 NIRCAM 311.366
F150W 1.501 0.318 2022-06-29T06:32:12.730Z NRCB2 2048 2048 0.107616626 0.106758416 jw01324001001_14201_00001_nrcb2_rate.fits 001 001 NIRCAM 311.366
F115W 1.154 0.225 2022-06-29T03:13:56.484Z NRCB3 2048 2048 0.0771002322435379 0.07682155 jw01324001001_09201_00003_nrcb3_rate.fits 001 001 NIRCAM 1159.571
F444W 4.408 1.029 2022-06-28T23:47:58.430Z NRCBLONG 2048 2048 0.7746609 0.77349746 jw01324001001_04201_00001_nrcblong_rate.fits 001 001 NIRCAM 311.366
F090W 0.902 0.194 2022-06-28T22:36:45.332Z NRCA2 2048 2048 0.06504148244857788 0.064966805 jw01324001001_03201_00002_nrca2_rate.fits 001 001 NIRCAM 1159.571
F444W 4.408 1.029 2022-06-29T06:13:47.143Z NRCALONG 2048 2048 0.747123122215271 0.748955 jw01324001001_12201_00002_nrcalong_rate.fits 001 001 NIRCAM 311.366
F356W 3.568 0.781 2022-06-29T08:36:56.307Z NRCBLONG 2048 2048 0.2986537516117096 0.2968824 jw01324001001_16201_00004_nrcblong_rate.fits 001 001 NIRCAM 311.366
F150W 1.501 0.318 2022-06-29T07:04:25.578Z NRCA4 2048 2048 0.113517255 0.11314377 jw01324001001_15201_00002_nrca4_rate.fits 001 001 NIRCAM 1159.571
F090W 0.902 0.194 2022-06-29T01:53:03.574Z NRCA1 2048 2048 0.06268336623907089 0.06228221 jw01324001001_06201_00001_nrca1_rate.fits 001 001 NIRCAM 311.366
F115W 1.154 0.225 2022-06-29T04:55:34.974Z NRCB1 2048 2048 0.07339958 0.0732262 jw01324001001_11201_00002_nrcb1_rate.fits 001 001 NIRCAM 1159.571
F090W 0.902 0.194 2022-06-28T22:13:50.869Z NRCB3 2048 2048 0.06647024303674698 0.06618726 jw01324001001_03201_00001_nrcb3_rate.fits 001 001 NIRCAM 1159.571
F115W 1.154 0.225 2022-06-29T04:16:02.318Z NRCA4 2048 2048 0.08160556852817535 0.08151558 jw01324001001_10201_00003_nrca4_rate.fits 001 001 NIRCAM 311.366
F115W 1.154 0.225 2022-06-29T05:18:29.436Z NRCA3 2048 2048 0.0811145007610321 0.08094873 jw01324001001_11201_00003_nrca3_rate.fits 001 001 NIRCAM 1159.571
F090W 0.902 0.194 2022-06-28T22:04:43.300Z NRCB4 2048 2048 0.0673031285405159 0.066632874 jw01324001001_02201_00001_nrcb4_rate.fits 001 001 NIRCAM 311.366
F115W 1.154 0.225 2022-06-29T04:01:43.183Z NRCB2 2048 2048 0.0732996016740799 0.073291995 jw01324001001_10201_00001_nrcb2_rate.fits 001 001 NIRCAM 311.366
