detector,filtername,observtn,wave,filtwidth,x,y,median,median_clipped,visit,effexptime,PHOTMJSR,sb_mjsr,sb_mjsr_std,shortdet
NRCA1,F090W,1,0.902,0.194,2048.0,2048.0,0.067382575,0.06727320249999999,1.0,735.4685,2.9961,0.2018849329575,0.012185379746911678,A1
NRCA1,F115W,1,1.154,0.225,2048.0,2048.0,0.07813067500000001,0.078090645,1.0,735.4685,2.9628,0.23148556389000002,0.011721448372463271,A1
NRCA1,F150W,1,1.501,0.318,2048.0,2048.0,0.10073603,0.10030754,1.0,311.366,2.2512,0.226776950736,0.009936432814469525,A1
NRCA1,F200W,1,1.989,0.457,2048.0,2048.0,0.095444694,0.09525606,1.0,1159.571,1.8917,0.1805527276398,0.011449178354342822,A1
NRCA2,F090W,1,0.902,0.194,2048.0,2048.0,0.06628806516528124,0.06604078,1.0,735.4685,3.2824,0.21758394509851917,0.020262555999927236,A2
NRCA2,F115W,1,1.154,0.225,2048.0,2048.0,0.076928474009037,0.0769594325,1.0,735.4685,3.1012,0.23857058359682554,0.016986212915473645,A2
NRCA2,F150W,1,1.501,0.318,2048.0,2048.0,0.10015731,0.09992628,1.0,311.366,2.3836,0.23873496411599998,0.015350295636234116,A2
NRCA2,F200W,1,1.989,0.457,2048.0,2048.0,0.091744184,0.091538124,1.0,1159.571,2.0807,0.19089212364880004,0.011300475448841909,A2
NRCA3,F090W,1,0.902,0.194,2048.0,2048.0,0.0742484182119369,0.074091285,1.0,735.4685,2.954,0.21932982739806162,0.005812148926829643,A3
NRCA3,F115W,1,1.154,0.225,2048.0,2048.0,0.08078788220882416,0.08062337,1.0,735.4685,2.9486,0.23821114948093888,0.006984443658016626,A3
NRCA3,F150W,1,1.501,0.318,2048.0,2048.0,0.10473772,0.10456817,1.0,311.366,2.2037,0.230810513564,0.008798973435856259,A3
NRCA3,F200W,1,1.989,0.457,2048.0,2048.0,0.1014654040336608,0.10107112,1.0,1159.571,1.8281,0.18548890511393532,0.005876279768383041,A3
NRCA4,F090W,1,0.902,0.194,2048.0,2048.0,0.07555551081895825,0.075597705,1.0,735.4685,2.9096,0.21983631427884093,0.013090790540932942,A4
NRCA4,F115W,1,1.154,0.225,2048.0,2048.0,0.08738453718851086,0.0871467675,1.0,735.4685,2.7757,0.24255325987414955,0.010289092157203935,A4
NRCA4,F150W,1,1.501,0.318,2048.0,2048.0,0.11493290960788724,0.114545015,1.0,311.366,2.1021,0.24160046928673978,0.004953641174678334,A4
NRCA4,F200W,1,1.989,0.457,2048.0,2048.0,0.1042058616876602,0.10376656,1.0,1159.571,1.8054,0.18813326269090172,0.006258249115339443,A4
NRCALONG,F277W,1,2.762,0.683,2048.0,2048.0,0.2388940155506134,0.23884034,1.0,1159.571,0.4908,0.11724918283224106,0.0002864123917075282,ALONG
NRCALONG,F356W,1,3.568,0.781,2048.0,2048.0,0.26242465,0.26304168,1.0,311.366,0.4047,0.106203255855,0.0009751908250555068,ALONG
NRCALONG,F444W,1,4.408,1.029,2048.0,2048.0,0.7472423611076355,0.75100985,1.0,735.4685,0.3925,0.293292626734747,0.0034436631654878257,ALONG
NRCB1,F090W,1,0.902,0.194,2048.0,2048.0,0.0635018868337059,0.0633499525,1.0,735.4685,3.564,0.22632072467532782,0.008351007214137408,B1
NRCB1,F115W,1,1.154,0.225,2048.0,2048.0,0.07478623464703554,0.07460291,1.0,735.4685,3.2719,0.24469308114163563,0.010824722329629206,B1
NRCB1,F150W,1,1.501,0.318,2048.0,2048.0,0.1016532,0.10137969,1.0,311.366,2.4124,0.24522817968,0.008182431693712907,B1
NRCB1,F200W,1,1.989,0.457,2048.0,2048.0,0.0958093851804733,0.09545464,1.0,1159.571,2.0223,0.19375531965047116,0.0036597818898173105,B1
NRCB2,F090W,1,0.902,0.194,2048.0,2048.0,0.066164138,0.065822395,1.0,735.4685,3.4274,0.2267709665812,0.010777622319827665,B2
NRCB2,F115W,1,1.154,0.225,2048.0,2048.0,0.0775325594543457,0.077213715,1.0,735.4685,3.1282,0.24253735248508423,0.008852438224550068,B2
NRCB2,F150W,1,1.501,0.318,2048.0,2048.0,0.1052475124597549,0.104560874,1.0,311.366,2.3054,0.24263761522471897,0.008770725689365709,B2
NRCB2,F200W,1,1.989,0.457,2048.0,2048.0,0.0975700691342353,0.09702943,1.0,1159.571,1.9519,0.1904470179431139,0.00481187788585357,B2
NRCB3,F090W,1,0.902,0.194,2048.0,2048.0,0.0667502619326114,0.06639342,1.0,735.4685,3.4248,0.22860629706680752,0.009548430917453438,B3
NRCB3,F115W,1,1.154,0.225,2048.0,2048.0,0.07625815647253034,0.076000892,1.0,735.4685,3.1863,0.24298136396842346,0.010744476482556126,B3
NRCB3,F150W,1,1.501,0.318,2048.0,2048.0,0.103870176,0.103427306,1.0,311.366,2.3518,0.24428187991679998,0.006680305722891592,B3
NRCB3,F200W,1,1.989,0.457,2048.0,2048.0,0.0977092087268829,0.09722019,1.0,1159.571,1.9572,0.19123646332025523,0.0070259533730327,B3
NRCB4,F090W,1,0.902,0.194,2048.0,2048.0,0.07310876995325086,0.07297493199999999,1.0,735.4685,3.0434,0.22249923047572365,0.01204690384951849,B4
NRCB4,F115W,1,1.154,0.225,2048.0,2048.0,0.09044993296265594,0.0899532975,1.0,735.4685,2.6985,0.24407914409972709,0.011377288818934076,B4
NRCB4,F150W,1,1.501,0.318,2048.0,2048.0,0.11757436,0.11691286,1.0,311.366,2.0288,0.238534861568,0.011628387104260162,B4
NRCB4,F200W,1,1.989,0.457,2048.0,2048.0,0.10613576,0.105220556,1.0,1159.571,1.7715,0.18801949884,0.004994556603654356,B4
NRCBLONG,F277W,1,2.762,0.683,2048.0,2048.0,0.2719824314117431,0.2706572,1.0,1159.571,0.4175,0.11355266511440275,0.0013935572360754046,BLONG
NRCBLONG,F356W,1,3.568,0.781,2048.0,2048.0,0.29666927,0.2951725,1.0,311.366,0.376,0.11154764551999999,0.001420890436041162,BLONG
NRCBLONG,F444W,1,4.408,1.029,2048.0,2048.0,0.7753119762516785,0.775426175,1.0,735.4685,0.3728,0.2890363047466257,0.0031718045680080237,BLONG
