filtername,wave,filtwidth,date,detector,x,y,median,median_clipped,filename,observtn,visit,instrument,effexptime,PHOTMJSR,sb_mjsr
F115W,1.154,0.225,2022-06-29T02:50:51.589Z,NRCA1,2048,2048,0.0789248794317245,0.078841105,jw01324001001_09201_00002_nrca1_rate.fits,1,1,NIRCAM,1159.571,2.9628,0.2338386327803134
F150W,1.501,0.318,2022-06-29T08:36:56.307Z,NRCB4,2048,2048,0.1222736090421676,0.12133927,jw01324001001_16201_00004_nrcb4_rate.fits,1,1,NIRCAM,311.366,2.0288,0.2480686980247496
F200W,1.989,0.457,2022-06-29T09:56:01.952Z,NRCB3,2048,2048,0.0972962379455566,0.09682567,jw01324001001_17201_00004_nrcb3_rate.fits,1,1,NIRCAM,1159.571,1.9572,0.19042819690704338
F090W,0.902,0.194,2022-06-29T02:07:22.517Z,NRCA2,2048,2048,0.0662177130579948,0.065677874,jw01324001001_06201_00003_nrca2_rate.fits,1,1,NIRCAM,311.366,3.2824,0.21735302134156215
F150W,1.501,0.318,2022-06-29T06:32:12.730Z,NRCB2,2048,2048,0.107616626,0.106758416,jw01324001001_14201_00001_nrcb2_rate.fits,1,1,NIRCAM,311.366,2.3054,0.24809936958040002
F115W,1.154,0.225,2022-06-29T03:13:56.484Z,NRCB3,2048,2048,0.0771002322435379,0.07682155,jw01324001001_09201_00003_nrcb3_rate.fits,1,1,NIRCAM,1159.571,3.1863,0.24566446999758482
F444W,4.408,1.029,2022-06-28T23:47:58.430Z,NRCBLONG,2048,2048,0.7746609,0.77349746,jw01324001001_04201_00001_nrcblong_rate.fits,1,1,NIRCAM,311.366,0.3728,0.28879358352
F090W,0.902,0.194,2022-06-28T22:36:45.332Z,NRCA2,2048,2048,0.0650414824485778,0.064966805,jw01324001001_03201_00002_nrca2_rate.fits,1,1,NIRCAM,1159.571,3.2824,0.21349216198921175
F444W,4.408,1.029,2022-06-29T06:13:47.143Z,NRCALONG,2048,2048,0.747123122215271,0.748955,jw01324001001_12201_00002_nrcalong_rate.fits,1,1,NIRCAM,311.366,0.3925,0.2932458254694939
F356W,3.568,0.781,2022-06-29T08:36:56.307Z,NRCBLONG,2048,2048,0.2986537516117096,0.2968824,jw01324001001_16201_00004_nrcblong_rate.fits,1,1,NIRCAM,311.366,0.376,0.11229381060600281
F150W,1.501,0.318,2022-06-29T07:04:25.578Z,NRCA4,2048,2048,0.113517255,0.11314377,jw01324001001_15201_00002_nrca4_rate.fits,1,1,NIRCAM,1159.571,2.1021,0.2386246217355
