detector,filtername,observtn,wave,filtwidth,x,y,median,median_clipped,visit,PHOTMJSR,sb_mjsr,sb_mjsr_std,shortdet
NRCA1,F090W,1,0.902,0.194,2048.0,2048.0,0.060854197,0.0606578,1.0,,,,A1
NRCA1,F150W,1,1.501,0.318,2048.0,2048.0,0.0861621871590614,0.08573991,1.0,,,,A1
NRCA1,F200W,1,1.989,0.457,2048.0,2048.0,0.081419766,0.08087647,1.0,,,,A1
NRCA2,F090W,1,0.902,0.194,2048.0,2048.0,0.05774155,0.057564966,1.0,,,,A2
NRCA2,F150W,1,1.501,0.318,2048.0,2048.0,0.08484836,0.08445367,1.0,,,,A2
NRCA2,F200W,1,1.989,0.457,2048.0,2048.0,0.07551814,0.075323075,1.0,,,,A2
NRCA3,F090W,1,0.902,0.194,2048.0,2048.0,0.062175654,0.062012568,1.0,,,,A3
NRCA3,F150W,1,1.501,0.318,2048.0,2048.0,0.0854268223047256,0.085127346,1.0,,,,A3
NRCA3,F200W,1,1.989,0.457,2048.0,2048.0,0.082720235,0.08224419,1.0,,,,A3
NRCA4,F090W,1,0.902,0.194,2048.0,2048.0,0.0637005865573883,0.063497975,1.0,,,,A4
NRCA4,F150W,1,1.501,0.318,2048.0,2048.0,0.093557484,0.09315262,1.0,,,,A4
NRCA4,F200W,1,1.989,0.457,2048.0,2048.0,0.0888130962848663,0.088356376,1.0,,,,A4
NRCALONG,F277W,1,2.762,0.683,2048.0,2048.0,0.19474791,0.19449359,1.0,,,,ALONG
NRCALONG,F356W,1,3.568,0.781,2048.0,2048.0,0.2528111934661865,0.25262198,1.0,,,,ALONG
NRCALONG,F444W,1,4.408,1.029,2048.0,2048.0,0.6122974,0.61447877,1.0,,,,ALONG
NRCB1,F090W,1,0.902,0.194,2048.0,2048.0,0.0556577034294605,0.05512191,1.0,3.603,0.2005347054563462,0.005868124250130294,B1
NRCB1,F150W,1,1.501,0.318,2048.0,2048.0,0.08701068,0.08614555,1.0,2.301,0.20021157468000003,0.004452366840107877,B1
NRCB1,F200W,1,1.989,0.457,2048.0,2048.0,0.08415959,0.08298011,1.0,2.1,0.176735139,0.0029058617199056096,B1
NRCB2,F090W,1,0.902,0.194,2048.0,2048.0,0.0572453662753105,0.0568936,1.0,,,,B2
NRCB2,F150W,1,1.501,0.318,2048.0,2048.0,0.08591431,0.08517365,1.0,,,,B2
NRCB2,F200W,1,1.989,0.457,2048.0,2048.0,0.0801853090524673,0.07914138,1.0,,,,B2
NRCB3,F090W,1,0.902,0.194,2048.0,2048.0,0.0571491159498691,0.056793895,1.0,,,,B3
NRCB3,F150W,1,1.501,0.318,2048.0,2048.0,0.08580161,0.085123725,1.0,,,,B3
NRCB3,F200W,1,1.989,0.457,2048.0,2048.0,0.083662815,0.082773164,1.0,,,,B3
NRCB4,F090W,1,0.902,0.194,2048.0,2048.0,0.06294173,0.062494442,1.0,,,,B4
NRCB4,F150W,1,1.501,0.318,2048.0,2048.0,0.0997372418642044,0.09874146,1.0,,,,B4
NRCB4,F200W,1,1.989,0.457,2048.0,2048.0,0.0939301997423172,0.091933176,1.0,,,,B4
NRCBLONG,F277W,1,2.762,0.683,2048.0,2048.0,0.2321386635303497,0.22692452,1.0,0.399,0.09262332674860954,0.0005064520705580337,BLONG
NRCBLONG,F356W,1,3.568,0.781,2048.0,2048.0,0.2880552113056183,0.28381282,1.0,0.351,0.10110737916827202,0.00047070567842532826,BLONG
NRCBLONG,F444W,1,4.408,1.029,2048.0,2048.0,0.6422410011291504,0.6399023,1.0,0.343,0.2202886633872986,0.0005982638965679335,BLONG
