filtername wave filtwidth date detector x y median median_clipped filename observtn visit instrument effexptime
F1000W 10.0 2.0 2022-06-14T05:53:27.329Z MIRIMAGE 1024 1032 12.478534698486328 12.483949661254883 jw02736002001_02103_00001_mirimage_fixed_cal.fits 002 001 MIRI 557.783
F1000W 10.0 2.0 2022-06-14T06:36:05.983Z MIRIMAGE 1024 1032 12.511143684387207 12.516138076782227 jw02736002001_02103_00005_mirimage_fixed_cal.fits 002 001 MIRI 557.783
F1000W 10.0 2.0 2022-06-14T07:19:01.277Z MIRIMAGE 1024 1032 12.512145519256592 12.517647743225098 jw02736002001_02103_00009_mirimage_fixed_cal.fits 002 001 MIRI 557.783
F1000W 10.0 2.0 2022-06-14T06:46:55.326Z MIRIMAGE 1024 1032 12.51321268081665 12.518808364868164 jw02736002001_02103_00006_mirimage_fixed_cal.fits 002 001 MIRI 557.783
F1000W 10.0 2.0 2022-06-14T06:04:11.169Z MIRIMAGE 1024 1032 12.522073745727539 12.525496482849121 jw02736002001_02103_00002_mirimage_fixed_cal.fits 002 001 MIRI 557.783
F1000W 10.0 2.0 2022-06-14T06:25:27.712Z MIRIMAGE 1024 1032 12.511438369750977 12.516060829162598 jw02736002001_02103_00004_mirimage_fixed_cal.fits 002 001 MIRI 557.783
F1000W 10.0 2.0 2022-06-14T06:14:49.440Z MIRIMAGE 1024 1032 12.5135498046875 12.518743515014648 jw02736002001_02103_00003_mirimage_fixed_cal.fits 002 001 MIRI 557.783
F1000W 10.0 2.0 2022-06-14T07:29:39.548Z MIRIMAGE 1024 1032 12.5192551612854 12.524606704711914 jw02736002001_02103_00010_mirimage_fixed_cal.fits 002 001 MIRI 557.783
F1000W 10.0 2.0 2022-06-14T06:57:39.166Z MIRIMAGE 1024 1032 12.51242733001709 12.517719268798828 jw02736002001_02103_00007_mirimage_fixed_cal.fits 002 001 MIRI 557.783
F1000W 10.0 2.0 2022-06-14T07:08:20.253Z MIRIMAGE 1024 1032 12.512079238891602 12.517692565917969 jw02736002001_02103_00008_mirimage_fixed_cal.fits 002 001 MIRI 557.783
F1500W 15.0 3.0 2022-06-14T07:52:38.487Z MIRIMAGE 1024 1032 39.72626495361328 39.716209411621094 jw02736002001_02105_00002_mirimage_fixed_cal.fits 002 001 MIRI 557.783
F1500W 15.0 3.0 2022-06-14T08:35:14.324Z MIRIMAGE 1024 1032 39.71119689941406 39.70149803161621 jw02736002001_02105_00006_mirimage_fixed_cal.fits 002 001 MIRI 557.783
F1500W 15.0 3.0 2022-06-14T09:07:14.706Z MIRIMAGE 1024 1032 39.69137191772461 39.679664611816406 jw02736002001_02105_00009_mirimage_fixed_cal.fits 002 001 MIRI 557.783
F1500W 15.0 3.0 2022-06-14T08:24:36.053Z MIRIMAGE 1024 1032 39.71465492248535 39.70526885986328 jw02736002001_02105_00005_mirimage_fixed_cal.fits 002 001 MIRI 557.783
F1500W 15.0 3.0 2022-06-14T07:42:00.215Z MIRIMAGE 1024 1032 39.66346740722656 39.65109634399414 jw02736002001_02105_00001_mirimage_fixed_cal.fits 002 001 MIRI 557.783
F1500W 15.0 3.0 2022-06-14T08:56:33.683Z MIRIMAGE 1024 1032 39.7036190032959 39.6932487487793 jw02736002001_02105_00008_mirimage_fixed_cal.fits 002 001 MIRI 557.783
F1500W 15.0 3.0 2022-06-14T08:45:52.595Z MIRIMAGE 1024 1032 39.70675277709961 39.69552993774414 jw02736002001_02105_00007_mirimage_fixed_cal.fits 002 001 MIRI 557.783
F1500W 15.0 3.0 2022-06-14T09:17:55.730Z MIRIMAGE 1024 1032 39.690250396728516 39.67893981933594 jw02736002001_02105_00010_mirimage_fixed_cal.fits 002 001 MIRI 557.783
F1500W 15.0 3.0 2022-06-14T08:03:19.510Z MIRIMAGE 1024 1032 39.72630500793457 39.716413497924805 jw02736002001_02105_00003_mirimage_fixed_cal.fits 002 001 MIRI 557.783
F1500W 15.0 3.0 2022-06-14T08:13:57.781Z MIRIMAGE 1024 1032 39.72193145751953 39.71017837524414 jw02736002001_02105_00004_mirimage_fixed_cal.fits 002 001 MIRI 557.783
