detector,filtername,observtn,wave,filtwidth,x,y,median,median_clipped,visit,effexptime,PHOTMJSR,sb_mjsr,sb_mjsr_std,shortdet
NRCA1,F090W,1,0.902,0.194,2048.0,2048.0,0.060854197,0.0606578,1.0,837.468,2.9961,0.18232525963170002,0.006669415846416482,A1
NRCA1,F150W,1,1.501,0.318,2048.0,2048.0,0.0861621871590614,0.08573991,1.0,837.468,2.2512,0.19396831573247902,0.005323397326386609,A1
NRCA1,F200W,1,1.989,0.457,2048.0,2048.0,0.081419766,0.08087647,1.0,837.468,1.8917,0.1540217713422,0.0035001207837638505,A1
NRCA2,F090W,1,0.902,0.194,2048.0,2048.0,0.05774155,0.057564966,1.0,837.468,3.2824,0.18953086372,0.007873401958670466,A2
NRCA2,F150W,1,1.501,0.318,2048.0,2048.0,0.08484836,0.08445367,1.0,837.468,2.3836,0.202244550896,0.005921311117604915,A2
NRCA2,F200W,1,1.989,0.457,2048.0,2048.0,0.07551814,0.075323075,1.0,837.468,2.0807,0.15713059389800002,0.007377854658989066,A2
NRCA3,F090W,1,0.902,0.194,2048.0,2048.0,0.062175654,0.062012568,1.0,837.468,2.954,0.183666881916,0.004152167167913143,A3
NRCA3,F150W,1,1.501,0.318,2048.0,2048.0,0.0854268223047256,0.085127346,1.0,837.468,2.2037,0.1882550883129238,0.004887540267174642,A3
NRCA3,F200W,1,1.989,0.457,2048.0,2048.0,0.082720235,0.08224419,1.0,837.468,1.8281,0.1512208616035,0.0016235080250750545,A3
NRCA4,F090W,1,0.902,0.194,2048.0,2048.0,0.0637005865573883,0.063497975,1.0,837.468,2.9096,0.185343226647377,0.003473954446518122,A4
NRCA4,F150W,1,1.501,0.318,2048.0,2048.0,0.093557484,0.09315262,1.0,837.468,2.1021,0.1966671871164,0.0034124810799210383,A4
NRCA4,F200W,1,1.989,0.457,2048.0,2048.0,0.0888130962848663,0.088356376,1.0,837.468,1.8054,0.1603431640326976,0.004294824492652698,A4
NRCALONG,F277W,1,2.762,0.683,2048.0,2048.0,0.19474791,0.19449359,1.0,837.468,0.4908,0.095582274228,0.0006520809013890295,ALONG
NRCALONG,F356W,1,3.568,0.781,2048.0,2048.0,0.2528111934661865,0.25262198,1.0,837.468,0.4047,0.10231268999576569,0.0003322764571453042,ALONG
NRCALONG,F444W,1,4.408,1.029,2048.0,2048.0,0.6122974,0.61447877,1.0,837.468,0.3925,0.2403267295,0.000592979094152467,ALONG
NRCB1,F090W,1,0.902,0.194,2048.0,2048.0,0.0556577034294605,0.05512191,1.0,837.468,3.564,0.1983640550225972,0.005804605836098923,B1
NRCB1,F150W,1,1.501,0.318,2048.0,2048.0,0.08701068,0.08614555,1.0,837.468,2.4124,0.209904564432,0.004667922540233054,B1
NRCB1,F200W,1,1.989,0.457,2048.0,2048.0,0.08415959,0.08298011,1.0,837.468,2.0223,0.17019593885700002,0.0027983448362690886,B1
NRCB2,F090W,1,0.902,0.194,2048.0,2048.0,0.0572453662753105,0.0568936,1.0,837.468,3.4274,0.1962027683719992,0.0054149269779163265,B2
NRCB2,F150W,1,1.501,0.318,2048.0,2048.0,0.08591431,0.08517365,1.0,837.468,2.3054,0.198066850274,0.0035671795412936264,B2
NRCB2,F200W,1,1.989,0.457,2048.0,2048.0,0.0801853090524673,0.07914138,1.0,837.468,1.9519,0.15651370473951093,0.003514981276811737,B2
NRCB3,F090W,1,0.902,0.194,2048.0,2048.0,0.0571491159498691,0.056793895,1.0,837.468,3.4248,0.19572429230511168,0.005161574030886846,B3
NRCB3,F150W,1,1.501,0.318,2048.0,2048.0,0.08580161,0.085123725,1.0,837.468,2.3518,0.20178822639799998,0.004064395851222843,B3
NRCB3,F200W,1,1.989,0.457,2048.0,2048.0,0.083662815,0.082773164,1.0,837.468,1.9572,0.163744861518,0.004100079334212277,B3
NRCB4,F090W,1,0.902,0.194,2048.0,2048.0,0.06294173,0.062494442,1.0,837.468,3.0434,0.191556861082,0.0052160579124706855,B4
NRCB4,F150W,1,1.501,0.318,2048.0,2048.0,0.0997372418642044,0.09874146,1.0,837.468,2.0288,0.2023469162940979,0.0055483585991683,B4
NRCB4,F200W,1,1.989,0.457,2048.0,2048.0,0.0939301997423172,0.091933176,1.0,837.468,1.7715,0.16639734884351493,0.005421656262381476,B4
NRCBLONG,F277W,1,2.762,0.683,2048.0,2048.0,0.2321386635303497,0.22692452,1.0,837.468,0.4175,0.096917892023921,0.0005299341841052182,BLONG
NRCBLONG,F356W,1,3.568,0.781,2048.0,2048.0,0.2880552113056183,0.28381282,1.0,837.468,0.376,0.10830875945091248,0.0005042317238972198,BLONG
NRCBLONG,F444W,1,4.408,1.029,2048.0,2048.0,0.6422410011291504,0.6399023,1.0,837.468,0.3728,0.23942744522094728,0.0006502413429752958,BLONG
