filtername,wave,filtwidth,date,detector,x,y,median,median_clipped,filename,observtn,visit,instrument,effexptime,PHOTMJSR,sb_mjsr
F200W,1.989,0.457,2022-06-07T06:20:15.832Z,NRCA4,2048,2048,0.08924553,0.08887725,jw02736001001_02105_00005_nrca4_rate.fits,1,1,NIRCAM,837.468,1.8054,0.161123879862
F090W,0.902,0.194,2022-06-07T02:22:37.094Z,NRCB3,2048,2048,0.0575181022286415,0.05707892,jw02736001001_02101_00008_nrcb3_rate.fits,1,1,NIRCAM,837.468,3.4248,0.19698799651265142
F090W,0.902,0.194,2022-06-07T01:05:40.267Z,NRCB1,2048,2048,0.0556577034294605,0.055091996,jw02736001001_02101_00003_nrcb1_rate.fits,1,1,NIRCAM,837.468,3.564,0.1983640550225972
F090W,0.902,0.194,2022-06-07T02:38:00.741Z,NRCA1,2048,2048,0.059007104,0.058777936,jw02736001001_02101_00009_nrca1_rate.fits,1,1,NIRCAM,837.468,2.9961,0.1767911842944
F090W,0.902,0.194,2022-06-07T00:50:17.196Z,NRCA3,2048,2048,0.062175654,0.062012568,jw02736001001_02101_00002_nrca3_rate.fits,1,1,NIRCAM,837.468,2.954,0.183666881916
F150W,1.501,0.318,2022-06-07T02:56:26.340Z,NRCB4,2048,2048,0.100865304,0.09974047,jw02736001001_02103_00001_nrcb4_rate.fits,1,1,NIRCAM,837.468,2.0288,0.2046355287552
F090W,0.902,0.194,2022-06-07T00:34:53.548Z,NRCB2,2048,2048,0.056798577,0.056425992,jw02736001001_02101_00001_nrcb2_rate.fits,1,1,NIRCAM,837.468,3.4274,0.1946714428098
F090W,0.902,0.194,2022-06-07T02:38:00.485Z,NRCB4,2048,2048,0.06071742,0.060319394,jw02736001001_02101_00009_nrcb4_rate.fits,1,1,NIRCAM,837.468,3.0434,0.184787396028
F090W,0.902,0.194,2022-06-07T01:05:40.523Z,NRCA4,2048,2048,0.06256375,0.06238278,jw02736001001_02101_00003_nrca4_rate.fits,1,1,NIRCAM,837.468,2.9096,0.18203548700000002
F200W,1.989,0.457,2022-06-07T06:20:15.512Z,NRCB1,2048,2048,0.08454201,0.08330414,jw02736001001_02105_00005_nrcb1_rate.fits,1,1,NIRCAM,837.468,2.0223,0.170969306823
F150W,1.501,0.318,2022-06-07T03:27:34.818Z,NRCA2,2048,2048,0.0849840566515922,0.08461117,jw02736001001_02103_00003_nrca2_rate.fits,1,1,NIRCAM,837.468,2.3836,0.20256799743473516
F200W,1.989,0.457,2022-06-07T06:04:52.505Z,NRCA3,2048,2048,0.08222336,0.08172184,jw02736001001_02105_00004_nrca3_rate.fits,1,1,NIRCAM,837.468,1.8281,0.150312524416
F150W,1.501,0.318,2022-06-07T04:59:54.717Z,NRCB2,2048,2048,0.08591431,0.08517365,jw02736001001_02103_00009_nrcb2_rate.fits,1,1,NIRCAM,837.468,2.3054,0.198066850274
F150W,1.501,0.318,2022-06-07T02:56:26.660Z,NRCA1,2048,2048,0.0861621871590614,0.08573991,jw02736001001_02103_00001_nrca1_rate.fits,1,1,NIRCAM,837.468,2.2512,0.19396831573247902
F200W,1.989,0.457,2022-06-07T06:51:02.231Z,NRCB2,2048,2048,0.0801853090524673,0.079307914,jw02736001001_02105_00007_nrcb2_rate.fits,1,1,NIRCAM,837.468,1.9519,0.15651370473951093
F150W,1.501,0.318,2022-06-07T04:13:44.608Z,NRCB2,2048,2048,0.0836511105298996,0.08283886,jw02736001001_02103_00006_nrcb2_rate.fits,1,1,NIRCAM,837.468,2.3054,0.19284927021563053
F200W,1.989,0.457,2022-06-07T05:18:31.324Z,NRCB3,2048,2048,0.08177679,0.080843754,jw02736001001_02105_00001_nrcb3_rate.fits,1,1,NIRCAM,837.468,1.9572,0.16005353338800002
F356W,3.568,0.781,2022-06-07T04:13:44.672Z,NRCBLONG,2048,2048,0.2879854142665863,0.28381035,jw02736001001_02103_00006_nrcblong_rate.fits,1,1,NIRCAM,837.468,0.376,0.10828251576423645
F090W,0.902,0.194,2022-06-07T01:51:50.376Z,NRCB4,2048,2048,0.0655044093728065,0.06494987,jw02736001001_02101_00006_nrcb4_rate.fits,1,1,NIRCAM,837.468,3.0434,0.1993561194851993
F150W,1.501,0.318,2022-06-07T03:42:57.890Z,NRCB1,2048,2048,0.08909048,0.08790111,jw02736001001_02103_00004_nrcb1_rate.fits,1,1,NIRCAM,837.468,2.4124,0.214921873952
F200W,1.989,0.457,2022-06-07T05:33:55.035Z,NRCA2,2048,2048,0.0737419873476028,0.073458344,jw02736001001_02105_00002_nrca2_rate.fits,1,1,NIRCAM,837.468,2.0807,0.15343495307415717
F150W,1.501,0.318,2022-06-07T03:58:21.537Z,NRCA3,2048,2048,0.086852536,0.08651827,jw02736001001_02103_00005_nrca3_rate.fits,1,1,NIRCAM,837.468,2.2037,0.19139693358319998
F444W,4.408,1.029,2022-06-07T07:21:49.013Z,NRCBLONG,2048,2048,0.6438724398612976,0.6418488,jw02736001001_02105_00009_nrcblong_rate.fits,1,1,NIRCAM,837.468,0.3728,0.24003564558029175
